,,,Normal,,Question,,,,Decision,,,,,,,,
,,,,,Correct,,Incorrect,,Option 1,,,Option 2,,,Option 3,,
Scenecode,Scenetype,Main Text,Next Code,Hit Points Lost,Text,Next Code,Text,Next Code,Letter,Text,Code,Letter,Text,Code,Letter,Text,Code
S1,decision,Welcome| %playername%%newline%You are an astronaut in space and are walking around the space station to get to your lab when you see an unidentified organism sliding along the corridor. What do you do?%newline%Type in ‘F’ to fight or ‘H’ to hide.,,,,,,,f,,S1A,h,,S1B,,,
S1A,question,You confront the alien and it snarls at you| rearing back| ready to attack.,,,"You win the battle and the alien falls to the ground, unconscious.",S2,You lose the battle.,S3,,,,,,,,,
S1B,decision,You hide behind a huge flower pot and wait for the alien to pass. As it walks past you| it suddenly turns around to look at you.%newline%What do you do? Type in ‘F’ to fight or ‘R’ to run,,,,,,,f,,S1A,r,,S1BB,,,
S1BB,question,Scared| you sprint back along the corridor| not daring to look back.,,,You manage to outrun the alien.,S2,The alien is faster than you and easily catches you up.,S1A,,,,,,,,,
S2,decision,Breathing heavily| you wonder what the alien was and why it was in the space station. You know you should report the event| but your colleagues might not believe you as the space station is meant to be a controlled environment.%newline%Type ‘R’ to report it or ‘Q’ to keep quiet.%newline%,,,,,,,r,,S2A,q,,S2B,,,
S2A,decision,"You find the security office and they let you in| asking if everything is okay. You explain the situation and they stare at you| eyebrows raised – after all| it is supposed to be a safe environment. Nevertheless, they check the CCTV footage and to their amazement find that they did see you being attacked by something not human. Immediately| a meeting is called for all the senior management and they discuss what they should do. You give them a description of the alien and the surveillance team show everyone the CCTV footage.%newline%They have a long and heated argument about whether the aliens are trying to make war or peace| and no one knows for sure their intent. They turn to you for guidance| asking you what you thought the aliens wanted.%newline%Type ‘P’ for peace or ‘W’ for war.%newline%",,,,,,,p,,S2AA,w,,S2AB,,,
S2AA,normal,You say that you think they want peace| but aren’t sure. Relieved| they decide on a plan of action.,S4,,,,,,,,,,,,,,
S2AB,normal,You say that you think that the aliens want to fight us. The senior management agree and the security chief makes a plan to stop them.,S5,,,,,,,,,,,,,,
S2B,question,You return to your lab and pretend everything is normal| continuing your experiment to find the effect of Zero-G on rocket seeds. %newline%Suddenly| the door to your lab bursts open and a group of the aliens similar to the one you fought earlier emerge. As soon as they see you| they collectively rush towards you.,,,,S2BA,,S2BB,,,,,,,,,
S2BA,normal,You just manage to hold them off and run for your life.,S2,10,,,,,,,,,,,,,
S2BB,normal,They tackle you to the ground| removing any chance of escape.,S3,20,,,,,,,,,,,,,
S3,decision,You are dragged by the alien through lots of corridors into a secret room| where many other aliens are congregating. You are tied to a chair.  They stare at you for a while and then babble excitedly| prodding you. %newline%Suddenly| you see one of your colleagues amongst the rabble. He walks up to you and says ‘%playername%| how nice to see you. It seems you picked a fight with the wrong species. You have two choices – you can either join us in taking over humanity| and you will be treated equally after| or you can stay tied up here and let us do it ourselves and be a slave like the rest of the humans. %newline%Type ‘J’ to join or ‘R’ to refuse.,,,,,,,j,,S3A,r,,S3B,,,
S3A,decision,‘As part of the joining process you will need to oath that you will stick with us. You will need to swallow this tracker and suicide device and you will receive a tattoo on your right arm to show that you have pledged alliance. Are you sure you want to join?’%newline%Type ‘Y’ for yes or ‘N’ for no.,,,,,,,y,,S3AA,n,,S3AB,,,
S3B,decision,‘Very well| but be aware that you can join us at any time. For now| you will need to be restrained appropriately.’ Two aliens step up to you| each carrying lengths of rope| gags and blindfolds.%newline%Type ‘A’ to accept or ‘F’ to fight. Alternatively| type ‘J’ to join them.,,,,,,,a,,S3BA,f,,S3BB,j,,S3BC
S3AA,normal,You are given the devices in capsules and swallow them along with a glass of water. Also| you are tattooed with a symbol of a black star on your right arm| just above your wrist.,S6,,,,,,,,,,,,,,
S3AB,normal,,S3B,,,,,,,,,,,,,,
S3BA,normal,You are tied even more tightly to the chair which is bolted to the ground. You are also blindfolded and gagged.,S7,,,,,,,,,,,,,,
S3BB,question,,,,,S3BBA,,S3BBB,,,,,,,,,
S3BBA,normal,You win the fight but reinforcements quickly arrive| pinning you to the ground.,S3BA,,,,,,,,,,,,,,
S3BBB,normal,You lose the fight.,S3BA,20,,,,,,,,,,,,,
S3BC,normal,,S3A,,,,,,,,,,,,,,
S4,decision,You decide to put out notices across the space station inviting all peaceful species which aren’t human to come and see the manager in his office. The word spreads quickly and soon everyone is talking about aliens| but nothing turns up. After a week| another meeting is called amongst you and the senior management. They know that you were attacked by aliens but aren’t sure if they still remain on the station – or understand the notice. Nobody knows what to do.%newline%Type ‘W’ to wait| ‘F’ to try and find them or ‘H’ to treat them as hostile.,,,,,,,w,,S4A,f,,S4B,h,,S4C
S4A,normal,,S2B,,,,,,,,,,,,,,
S4B,question,You search all the rooms again| along with the security team| but you cannot find anything. You return to the corridor where you found the alien last time but there is no one there. %newline%Defeated| you leave the security team for a moment to go to the toilet.%newline%Suddenly| out of the corner of your eye| you see an alien lunge for you.,,,,S4BA,,S4BB,,,,,,,,,
S4C,normal,,S2AB,,,,,,,,,,,,,,
S4BA,normal,You quickly spin round and get to the alien| knocking it to the ground. It falls| unconscious. Worried| you shout for the security team and they come rushing over. They investigate the scene and the alien but nothing can be found. You collectively decide that the aliens probably want to kill the humans| and want war. You and the team return to the security room| dropping the dead alien off at the medical bay to try and get more information on the way.,S5,,,,,,,,,,,,,,
S4BB,normal,You try to spin around but you are too slow. The alien knocks you to the ground.,S3,20,,,,,,,,,,,,,
S5,question,You quickly put the whole station on lockdown – no one is now able to get in or out between sectors without the security team opening the door remotely in their secure base. Then| you get armed up with body armour and a tazer| and along with 5 of the security guards| you systematically search each room.%newline%When you reach the catering sector| you discover that one of the cleaning warehouses have been taken over by the aliens. You find hundreds of aliens roaming around the huge area| some even on arrays of computers. On hearing the door open| they all look and stare at you. A deathly silence transpires. %newline%Suddenly| they all rush towards you| raising weapons. Your team desperately contact control on the radio| but they know it’s too late. Subconsciously| you all agree to run and sprint out of the room - it is your only chance.,,,,S5A,,S5B,,,,,,,,,
S5A,question,You manage to escape but one of the security guards gets caught by the aliens. They attack him with their weapons and he falls| screaming. You slam the door shut and lean against it| with the help of the 4 others| waiting for reinforcements. Inside| you can hear the battering of the door| as the enraged species try to get out.,,,,S5AA,,S5AB,,,,,,,,,
